iter	Passed	Remaining
403	9383	13842
404	9406	13819
405	9429	13795
406	9454	13774
407	9476	13750
408	9499	13726
409	9521	13701
410	9544	13677
411	9566	13653
412	9588	13628
413	9610	13603
414	9632	13578
415	9655	13554
416	9677	13529
417	9700	13505
418	9723	13482
419	9745	13457
420	9768	13434
421	9791	13410
422	9810	13381
423	9833	13358
424	9855	13334
425	9878	13309
426	9902	13288
427	9918	13255
428	9936	13225
429	9955	13196
430	9977	13171
431	9999	13147
432	10021	13123
433	10050	13107
434	10074	13084
435	10096	13061
436	10119	13036
437	10142	13013
438	10164	12989
439	10187	12966
440	10210	12943
441	10234	12920
442	10257	12897
443	10280	12873
444	10301	12848
445	10323	12823
446	10345	12799
447	10368	12775
448	10391	12752
449	10414	12728
450	10436	12704
451	10460	12681
452	10483	12658
453	10505	12634
454	10528	12611
455	10552	12588
456	10573	12563
457	10595	12539
458	10619	12516
459	10640	12491
460	10663	12467
461	10685	12443
462	10708	12419
463	10731	12396
464	10754	12374
465	10778	12350
466	10800	12326
467	10822	12302
468	10844	12278
469	10869	12256
470	10893	12234
471	10915	12210
472	10937	12185
473	10959	12161
474	10981	12137
475	11004	12113
476	11026	12089
477	11048	12065
478	11070	12041
479	11092	12016
480	11114	11992
481	11136	11968
482	11159	11945
483	11185	11925
484	11208	11902
485	11231	11878
486	11253	11854
487	11275	11829
488	11297	11805
489	11319	11781
490	11342	11757
491	11364	11734
492	11388	11712
493	11410	11687
494	11432	11663
495	11455	11639
496	11477	11616
497	11497	11589
498	11518	11564
499	11539	11539
500	11559	11513
501	11583	11491
502	11607	11469
503	11627	11443
504	11650	11419
505	11673	11396
506	11694	11371
507	11713	11344
508	11736	11321
509	11755	11294
510	11778	11270
511	11801	11248
512	11820	11221
513	11843	11198
514	11862	11171
515	11881	11144
516	11900	11117
517	11919	11090
518	11938	11064
519	11957	11037
520	11977	11011
521	11996	10985
522	12015	10958
523	12033	10931
524	12051	10904
525	12070	10876
526	12089	10850
527	12109	10824
528	12128	10799
529	12151	10775
530	12171	10750
531	12191	10724
532	12210	10698
533	12229	10672
534	12249	10646
535	12269	10621
536	12287	10594
537	12306	10568
538	12325	10541
539	12344	10515
540	12366	10492
541	12386	10466
542	12405	10440
543	12428	10417
544	12451	10395
545	12474	10372
546	12492	10346
547	12511	10320
548	12530	10293
549	12548	10267
550	12567	10240
551	12586	10215
552	12606	10189
553	12625	10164
554	12644	10138
555	12664	10113
556	12686	10090
557	12709	10067
558	12732	10044
559	12751	10019
560	12771	9993
561	12789	9967
562	12809	9942
563	12834	9922
564	12858	9900
565	12882	9878
566	12905	9855
567	12928	9832
568	12951	9810
569	12974	9787
570	12996	9764
571	13020	9742
572	13039	9717
573	13062	9694
574	13081	9668
575	13104	9646
576	13126	9622
577	13151	9602
578	13173	9578
579	13193	9554
580	13215	9530
581	13238	9508
582	13260	9484
583	13280	9460
584	13301	9435
585	13320	9410
586	13343	9388
587	13366	9365
588	13388	9342
589	13411	9319
590	13432	9295
591	13455	9273
592	13474	9248
593	13494	9223
594	13514	9199
595	13533	9173
596	13553	9149
597	13572	9123
598	13591	9099
599	13610	9073
600	13631	9049
601	13654	9027
602	13677	9004
603	13700	8982
604	13722	8959
605	13742	8934
606	13765	8912
607	13784	8887
608	13803	8862
609	13822	8837
610	13841	8812
611	13859	8786
